Type,Price,Bedrooms,Bathrooms,Area,Furnished,Level,Compound,Payment_Option,Delivery_Date,Delivery_Term,City
Apartment,500000,3,3,245.0,Unknown,3,Unknown,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed
Apartment,500000,3,3,240.0,Unknown,1,Unknown,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed
Apartment,500000,3,3,240.0,Unknown,3,Unknown,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed
Apartment,5150000,4,3,203.0,No,2,Village West,Cash or Installment,soon,Finished,Sheikh Zayed
Apartment,1750000,3,2,165.0,No,4,Unknown,Cash,Ready to move,Semi Finished,Shubra
Apartment,500000,3,3,245.0,Unknown,3,Unknown,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed
Apartment,500000,3,3,245.0,Unknown,3,Unknown,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed
Apartment,4000000,3,2,150.0,Unknown,2,Village West,Cash or Installment,soon,Finished,Sheikh Zayed
Duplex,700000,3,3,360.0,Unknown,Ground,Unknown,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed
Apartment,500000,1,1,50.0,Unknown,1,Unknown,Cash,Ready to move,Finished,Cleopatra
Apartment,500000,3,3,248.0,Unknown,3,Unknown,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed
Apartment,5000000,4,4,317.0,No,6,Madinaty,Cash,Ready to move,Finished,Madinaty
Apartment,2400000,3,2,135.0,No,3,Madinaty,Cash,Ready to move,Finished,Madinaty
Apartment,1600000,2,1,92.0,Unknown,3,Unknown,Cash,Unknown,Unknown ,Madinaty
Apartment,2500000,3,2,140.0,Unknown,2,Unknown,Cash or Installment,Unknown,Unknown ,Madinaty
Studio,1400000,1,1,60.0,No,Ground,Unknown,Cash,Unknown,Finished,Rehab City
Duplex,700000,3,3,360.0,Unknown,Ground,Unknown,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed
Apartment,1375000,3,2,116.0,No,1,Madinaty,Installment,Ready to move,Finished,Madinaty
Apartment,500000,3,3,245.0,Unknown,3,Unknown,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed
Apartment,500000,3,3,245.0,Unknown,3,Unknown,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed
Duplex,700000,3,3,360.0,Unknown,Ground,Unknown,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed
Duplex,700000,3,3,360.0,Unknown,Ground,Unknown,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed
Apartment,500000,3,3,245.0,Unknown,3,Unknown,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed
Apartment,500000,3,3,245.0,Unknown,3,Unknown,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed
Duplex,700000,3,3,360.0,Unknown,Ground,Unknown,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed
Apartment,2150000,3,2,116.0,No,1,Madinaty,Cash or Installment,Ready to move,Finished,Madinaty
Apartment,500000,3,3,245.0,Unknown,3,Unknown,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed
Duplex,700000,3,3,360.0,Unknown,Ground,Unknown,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed
Apartment,1700000,2,2,96.0,No,5,Madinaty,Cash,Ready to move,Finished,Madinaty
Apartment,500000,3,3,240.0,Unknown,3,Unknown,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed
Duplex,700000,3,3,360.0,Unknown,Ground,Unknown,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed
Apartment,4500000,3,3,179.0,Unknown,1,Pyramids Heights,Unknown Payment,soon,Finished,Sheikh Zayed
Apartment,2200000,3,2,300.0,No,1,Unknown,Cash,Ready to move,Finished,Shorouk City
Apartment,500000,3,3,245.0,Unknown,3,Unknown,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed
Apartment,1700000,2,1,100.0,Unknown,3,Unknown,Cash,soon,Finished,Miami
Apartment,500000,3,3,245.0,Unknown,3,Unknown,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed
Apartment,1150000,3,3,220.0,No,5,Unknown,Cash,Unknown,Finished,6th of October
Apartment,350000,2,1,69.0,No,2,Unknown,Cash,Ready to move,Finished,Maadi
Apartment,500000,3,1,95.0,No,2,Unknown,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa
Apartment,2300000,3,2,190.0,No,4,Unknown,Cash,Ready to move,Finished,Nasr City
Duplex,650000,3,2,300.0,No,5,Unknown,Cash,Unknown,Finished,Nakheel
Apartment,950000,3,2,160.0,No,3,Unknown,Cash,Ready to move,Finished,Shorouk City
Apartment,1850000,3,2,133.0,No,5,Madinaty,Cash,Ready to move,Finished,Madinaty
Apartment,1950000,2,2,145.0,Yes,1,Unknown,Cash,Ready to move,Finished,New Cairo - El Tagamoa
Apartment,900000,4,2,200.0,Unknown,5,Unknown,Cash,Ready to move,Semi Finished,Mokattam
Apartment,600000,1,1,50.0,Yes,2,Unknown,Cash,Ready to move,Finished,Arab District
Apartment,1800000,3,2,172.0,Unknown,3,Unknown,Unknown Payment,Unknown,Finished,Sheikh Zayed
Apartment,300000,2,1,80.0,Unknown,10+,Unknown,Unknown Payment,Unknown,Unknown ,Hadayek al-Kobba
Apartment,1500000,3,2,157.0,No,3,Gardenia,Unknown Payment,Unknown,Finished,6th of October
Apartment,1350000,2,1,91.0,No,3,Madinaty,Unknown Payment,Ready to move,Finished,Madinaty
Apartment,1600000,3,2,225.0,No,4,Unknown,Cash,Ready to move,Finished,Mokattam
Apartment,3500000,4,3,200.0,No,2,Madinaty,Installment,Ready to move,Finished,Madinaty
Apartment,500000,2,1,96.0,No,4,Unknown,Cash,Ready to move,Finished,15 May City
Penthouse,1750000,3,2,172.0,Unknown,4,Unknown,Unknown Payment,Unknown,Finished,Sheikh Zayed
Apartment,900000,2,1,125.0,Yes,5,Unknown,Cash,Ready to move,Finished,Mokattam
Duplex,1600000,4,3,250.0,No,Ground,Unknown,Cash,Ready to move,Finished,Shorouk City
Apartment,2100000,3,2,187.0,No,7,Unknown,Cash,Ready to move,Finished,Zezenia
Apartment,1500000,3,2,200.0,Unknown,3,Unknown,Cash,soon,Finished,Mokattam
Apartment,350000,1,1,42.0,No,6,Unknown,Cash,Ready to move,Finished,Mansura
Apartment,400000,2,1,85.0,No,5,90 Avenue,Cash,soon,Finished,Ismailia City
Apartment,1200000,3,2,200.0,No,Highest,Unknown,Cash,Unknown,Unknown ,6th of October
Apartment,2700000,3,2,200.0,No,2,Unknown,Cash,Ready to move,Finished,Mohandessin
Apartment,1056000,3,2,132.0,Unknown,8,Unknown,Cash,soon,Finished,Damanhour
Apartment,3000000,3,3,175.0,No,2,Madinaty,Cash,Ready to move,Finished,Madinaty
Apartment,3000000,3,3,175.0,No,2,Madinaty,Cash,Ready to move,Finished,Madinaty
Apartment,3650000,3,3,162.0,No,3,Rehab City,Cash,Ready to move,Finished,Rehab City
Apartment,1700000,2,1,90.0,No,1,Rehab City,Cash,Ready to move,Finished,Rehab City
Apartment,1850000,3,2,160.0,No,4,Anakaji,Installment,Unknown,Semi Finished,Maadi
Apartment,1500000,3,3,200.0,Unknown,7,Unknown,Cash,Ready to move,Finished,Mokattam
Apartment,850000,3,2,125.0,No,5,Unknown,Cash or Installment,Ready to move,Semi Finished,Sidi Beshr
Apartment,465000,4,2,250.0,No,5,Unknown,Cash,Unknown,Unknown ,Nakheel
Apartment,1950000,2,1,90.0,No,1,Rehab City,Cash,Ready to move,Finished,Rehab City
Apartment,700000,3,2,130.0,No,Highest,Unknown,Cash,Unknown,Unknown ,6th of October
Apartment,200000,2,1,85.0,No,3,Unknown,Cash,Unknown,Finished,Nakheel
Apartment,1150000,3,1,160.0,Unknown,Ground,Unknown,Cash,Ready to move,Finished,Mokattam
Apartment,340000,3,1,120.0,No,4,Unknown,Cash,Unknown,Unknown ,Nakheel
Apartment,1640000,3,2,141.0,No,3,Unknown,Cash,Ready to move,Finished,Tanta
Apartment,1850000,3,2,116.0,No,4,Madinaty,Cash,Ready to move,Finished,Madinaty
Duplex,5811639,4,3,225.0,No,Ground,Unknown,Cash or Installment,Unknown,Finished,Sheikh Zayed
Apartment,700000,3,1,105.0,No,3,Unknown,Cash,Ready to move,Finished,Tanta
Apartment,1500000,2,1,82.0,No,4,Madinaty,Cash,Ready to move,Finished,Madinaty
Apartment,1600000,3,2,180.0,No,5,Unknown,Cash,Ready to move,Finished,Hadayek al-Kobba
Apartment,2280000,3,3,160.0,No,4,Anakaji,Installment,Unknown,Semi Finished,Heliopolis
Apartment,5196833,4,3,203.0,Unknown,2,Unknown,Cash or Installment,Unknown,Finished,Sheikh Zayed
Apartment,4010058,3,4,149.0,No,1,Unknown,Cash or Installment,Unknown,Finished,Sheikh Zayed
Apartment,950000,3,2,161.0,Unknown,1,2020 Compound,Cash or Installment,Unknown,Semi Finished,6th of October
Apartment,2800000,3,3,186.0,No,Ground,Madinaty,Installment,Ready to move,Finished,Madinaty
Apartment,1600000,3,2,155.0,No,10,Unknown,Cash,Ready to move,Finished,Smoha
Apartment,1850000,2,1,120.0,No,5,Anakaji,Installment,Unknown,Semi Finished,Nasr City
Apartment,1300000,3,2,170.0,Yes,Ground,Unknown,Cash,Ready to move,Finished,Hadayek al-Ahram
Apartment,1100000,2,1,90.0,Yes,4,Unknown,Cash,Ready to move,Finished,Sheraton
Apartment,4131682,2,2,141.0,No,Ground,Unknown,Cash or Installment,Unknown,Finished,Sheikh Zayed
Apartment,400000,2,1,68.0,Unknown,1,Unknown,Unknown Payment,Unknown,Unknown ,Sharq District
Apartment,1400000,3,1,180.0,Unknown,3,Unknown,Cash,Ready to move,Finished,Nasr City
Duplex,2950000,3,3,275.0,No,2,Unknown,Cash,Ready to move,Core & Shell,Heliopolis
Apartment,320000,2,1,67.0,No,Ground,Unknown,Cash,Ready to move,Finished,Badr City
Apartment,3400000,4,2,264.0,No,5,Unknown,Cash,Ready to move,Finished,Glim
Apartment,1929000,2,2,84.0,Unknown,1,Unknown,Cash or Installment,2024,Finished,Manzala
Apartment,620000,3,2,140.0,No,5,Unknown,Cash,Ready to move,Finished,Agami
Apartment,2550000,3,2,130.0,Unknown,Ground,Kayan,Cash or Installment,Unknown,Finished,Sheikh Zayed
Apartment,1400000,3,2,175.0,No,2,Unknown,Cash,Unknown,Unknown ,6th of October
Apartment,3040000,3,2,140.0,Unknown,Ground,Kayan,Cash or Installment,Unknown,Finished,Sheikh Zayed
Apartment,4850000,4,4,300.0,No,1,Rehab City,Cash,Unknown,Finished,Rehab City
Apartment,5500000,4,4,350.0,No,2,Unknown,Cash,Ready to move,Finished,Mohandessin
Apartment,680000,3,1,140.0,Unknown,4,Unknown,Cash,Ready to move,Finished,Hadayek al-Ahram
Apartment,1800000,2,1,92.0,No,Ground,Rehab City,Cash,Ready to move,Not Finished,Rehab City
Apartment,1200000,2,1,140.0,No,1,Unknown,Cash,Ready to move,Finished,Maadi
Duplex,475000,3,2,188.0,No,6,Unknown,Installment,Ready to move,Finished,Haram
Apartment,240000,2,1,105.0,No,1,Sarai,Cash or Installment,Ready to move,Semi Finished,New Cairo - El Tagamoa
Apartment,1750000,3,3,210.0,No,8,Unknown,Cash,Unknown,Semi Finished,Rod al-Farag
Apartment,450000,3,2,145.0,No,8,Unknown,Cash,Ready to move,Finished,Faisal
Apartment,1550000,3,2,210.0,No,4,Unknown,Unknown Payment,Unknown,Unknown ,6th of October
Apartment,385000,3,2,163.0,No,6,Unknown,Installment,Ready to move,Finished,Haram
Apartment,325000,2,2,132.0,No,7,Unknown,Installment,Ready to move,Finished,Haram
Apartment,3050000,3,2,150.0,No,1,Unknown,Cash,Ready to move,Finished,Madinaty
Apartment,1500000,1,1,102.0,No,2,Anakaji,Installment,Unknown,Semi Finished,Nasr City
Apartment,2600000,2,2,95.0,Unknown,4,Madinaty,Installment,2025,Finished,Madinaty
Apartment,1600000,2,2,89.0,No,4,Madinaty,Cash,Ready to move,Finished,Madinaty
Apartment,1000000,2,1,145.0,No,Ground,Tijan,Cash,Ready to move,Finished,Zahraa Al Maadi
Duplex,2850000,3,3,300.0,No,Ground,Unknown,Cash,Unknown,Unknown ,6th of October
Apartment,2910000,3,2,120.0,Unknown,Ground,Kayan,Cash or Installment,Unknown,Finished,Sheikh Zayed
Apartment,1100000,3,2,140.0,No,2,Unknown,Cash,Unknown,Unknown ,6th of October
Apartment,2000000,3,2,185.0,No,3,Unknown,Cash,Unknown,Unknown ,6th of October
Duplex,3400000,4,3,340.0,Yes,Ground,Unknown,Cash,Unknown,Unknown ,Sheikh Zayed
Apartment,2800000,3,3,255.0,Unknown,2,Unknown,Cash,Ready to move,Finished,New Cairo - El Tagamoa
Apartment,470000,3,2,202.0,No,6,Unknown,Installment,Ready to move,Finished,Haram
Apartment,1800000,3,3,220.0,Unknown,10,Unknown,Cash,Ready to move,Finished,Tanta
Apartment,900000,2,1,84.0,No,2,Madinaty,Cash,Ready to move,Finished,Madinaty
Apartment,1575000,2,2,90.0,Unknown,Ground,Kayan,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed
Apartment,3200000,3,2,175.0,Unknown,5,Madinaty,Cash,Ready to move,Finished,Madinaty
Apartment,1700000,3,3,240.0,Yes,7,Not in Compound,Cash,soon,Finished,Boulaq
Apartment,1450000,3,3,166.0,No,1,Unknown,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa
Apartment,600000,2,1,82.0,No,3,Unknown,Cash or Installment,Ready to move,Finished,Ismailia City
Apartment,820000,3,2,120.0,Unknown,4,Unknown,Cash or Installment,Unknown,Unknown ,Ismailia City
Apartment,670000,3,1,95.0,No,9,Unknown,Unknown Payment,Unknown,Unknown ,Ismailia City
Apartment,2196060,3,2,130.0,Unknown,Ground,Kayan,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed
Apartment,440000,3,2,195.0,Unknown,5,Unknown,Installment,Ready to move,Finished,Haram
Apartment,1480000,3,3,168.0,Unknown,4,Unknown,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa
Apartment,900000,3,2,135.0,No,5,Unknown,Cash or Installment,Unknown,Unknown ,Ismailia City
Penthouse,2993000,3,2,207.0,Unknown,1,Kayan,Cash or Installment,Unknown,Semi Finished,Sheikh Zayed
Apartment,1750000,2,2,96.0,No,5,Madinaty,Cash,Ready to move,Finished,Madinaty
Apartment,2000000,3,3,225.0,Unknown,Ground,Unknown,Cash or Installment,Ready to move,Semi Finished,New Cairo - El Tagamoa
Apartment,1100000,3,3,200.0,Unknown,2,Unknown,Cash,Ready to move,Semi Finished,Obour City
Apartment,350000,3,1,110.0,No,7,Unknown,Cash,within 6 months,Unknown ,Agami
Apartment,5565000,5,3,209.0,No,3,Unknown,Cash or Installment,Unknown,Finished,6th of October
Apartment,650000,2,1,110.0,Unknown,10+,Unknown,Cash,Unknown,Unknown ,Asafra
Apartment,870000,3,2,135.0,Unknown,Ground,Unknown,Cash,Unknown,Finished,New Cairo - El Tagamoa
Apartment,370000,2,1,100.0,No,3,Unknown,Cash,Unknown,Unknown ,10th of Ramadan
Apartment,475000,3,1,100.0,No,10+,Unknown,Cash,soon,Finished,Seyouf
Apartment,3633000,2,2,124.0,No,3,Unknown,Cash or Installment,Unknown,Finished,Sheikh Zayed
Apartment,260000,3,1,120.0,Unknown,5,Unknown,Cash,Unknown,Unknown ,Agami
Apartment,4502000,3,3,154.0,No,3,Unknown,Cash or Installment,Unknown,Finished,6th of October
Apartment,2600000,3,3,210.0,No,2,Unknown,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa
Apartment,140280,2,2,85.0,Unknown,2,Unknown,Cash or Installment,2024,Finished,Arab District
Apartment,529000,1,1,46.0,No,3,Unknown,Installment,2023,Finished,Hurghada
Apartment,2600000,3,2,175.0,No,2,Highland Park,Cash,Ready to move,Finished,New Cairo - El Tagamoa
Apartment,3150000,3,3,165.0,No,2,Madinaty,Cash,Ready to move,Finished,Madinaty
Apartment,1250000,3,2,120.0,Yes,4,Unknown,Cash,Unknown,Finished,Sheraton
Apartment,1380000,3,2,176.0,No,3,Unknown,Cash,Ready to move,Finished,6th of October
Apartment,1478000,3,2,120.0,No,7,Unknown,Cash or Installment,Unknown,Semi Finished,New Capital City
Apartment,850000,2,2,73.0,Yes,2,Unknown,Cash,Ready to move,Finished,Hurghada
Apartment,2300000,3,2,177.0,No,10+,Unknown,Cash,Ready to move,Unknown ,Glim
Studio,480000,1,1,35.0,Yes,1,Unknown,Cash,Ready to move,Finished,Hurghada
Apartment,3750000,3,3,200.0,No,2,Unknown,Cash,Ready to move,Finished,New Cairo - El Tagamoa
Apartment,2500000,4,2,220.0,No,2,Unknown,Cash,Ready to move,Finished,New Cairo - El Tagamoa
Apartment,655000,2,1,65.0,Yes,1,Unknown,Cash,Ready to move,Finished,Hurghada
Apartment,2400000,2,2,190.0,No,Ground,Unknown,Cash,Ready to move,Finished,New Cairo - El Tagamoa
Apartment,850000,3,2,185.0,Unknown,2,Unknown,Cash,Ready to move,Finished,Agami
Apartment,480000,2,1,70.0,No,Ground,Unknown,Cash,Ready to move,Finished,Hurghada
Duplex,4500000,4,3,300.0,No,Ground,Al Diyar,Cash,Ready to move,Finished,New Cairo - El Tagamoa
Apartment,3500000,4,3,215.0,No,2,Rehab City,Cash,Ready to move,Finished,Rehab City
Apartment,3050000,4,3,180.0,No,Ground,Madinaty,Cash or Installment,Ready to move,Finished,Madinaty
Apartment,265000,2,1,100.0,No,1,Unknown,Cash,Unknown,Finished,Nakheel
Apartment,235000,1,1,47.0,No,4,Unknown,Cash,Unknown,Semi Finished,Hurghada
Duplex,900000,3,3,186.0,Unknown,2,Unknown,Cash or Installment,Ready to move,Finished,Sharm al-Sheikh
Apartment,675000,3,1,90.0,Unknown,5,Spanish District,Cash,Ready to move,Finished,Hadayek 6th of October
Apartment,3200000,3,3,163.0,No,3,Unknown,Cash or Installment,Unknown,Finished,Smoha
Apartment,3500000,3,3,210.0,No,Ground,Rehab City,Cash,Ready to move,Finished,Rehab City
Penthouse,3600000,4,4,440.0,No,2,Unknown,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa
Apartment,1600000,2,2,105.0,Unknown,1,Unknown,Installment,2024,Semi Finished,Sheikh Zayed
Apartment,820000,5,2,260.0,Unknown,10+,Unknown,Cash,Ready to move,Finished,Agami
Apartment,550000,3,2,165.0,No,4,Unknown,Cash,Unknown,Not Finished,Faisal
Apartment,2700000,3,3,210.0,Unknown,1,Unknown,Cash or Installment,Ready to move,Finished,New Cairo - El Tagamoa
Apartment,1800000,3,2,186.0,Unknown,Ground,Unknown,Cash,Ready to move,Semi Finished,Maadi
Apartment,2800000,3,2,136.0,No,Ground,Rehab City,Cash,Ready to move,Finished,Rehab City
Apartment,3250000,3,3,210.0,No,2,Unknown,Cash,Ready to move,Finished,New Cairo - El Tagamoa
Apartment,1450000,4,3,205.0,Unknown,5,Unknown,Cash,Ready to move,Semi Finished,Katameya
Apartment,4200000,3,3,177.0,No,5,Unknown,Cash or Installment,Unknown,Finished,Moharam Bik
Apartment,1400000,3,2,240.0,No,10+,Unknown,Cash,Unknown,Finished,Faisal
Apartment,319000,2,2,110.0,Unknown,6,Zed East,Cash,2024,Finished,Sheikh Zayed
Apartment,1150000,3,2,155.0,Unknown,1,Unknown,Cash or Installment,Ready to move,Finished,Mokattam
Apartment,2250000,3,3,136.0,Unknown,Ground,Unknown,Cash,Ready to move,Finished,Rehab City
Apartment,1850000,2,1,109.0,No,1,Rehab City,Cash,Ready to move,Semi Finished,Rehab City
Studio,4800000,1,1,50.0,No,6,Aeon,Cash or Installment,2024,Finished,6th of October
Apartment,1500000,3,3,183.0,Unknown,Ground,Unknown,Unknown Payment,Unknown,Semi Finished,New Capital City
Apartment,1750000,3,3,190.0,Unknown,7,Maadi Grand City,Cash,Ready to move,Finished,Zahraa Al Maadi
Apartment,1740500,2,1,85.0,Unknown,1,Badya Palm Hills,Unknown Payment,Unknown,Unknown ,6th of October
Apartment,3350000,3,3,210.0,No,1,Unknown,Cash,Ready to move,Finished,New Cairo - El Tagamoa
Apartment,4400000,3,3,150.0,Unknown,2,Unknown,Cash or Installment,Unknown,Finished,6th of October
Apartment,2600000,3,3,248.0,No,1,Beit Al Watan,Installment,Ready to move,Semi Finished,Sheikh Zayed
Apartment,2800000,3,3,174.0,No,3,Unknown,Cash,Ready to move,Finished,Madinaty
Apartment,1300000,2,1,88.0,No,3,Zizinia El Mostakbal,Unknown Payment,Ready to move,Semi Finished,New Cairo - El Tagamoa
Apartment,3200000,3,3,220.0,No,1,Sephora Heights,Cash or Installment,Ready to move,Semi Finished,New Cairo - El Tagamoa
Apartment,2400000,3,2,240.0,No,2,Unknown,Cash,Unknown,Finished,Sheikh Zayed
Apartment,750000,3,2,170.0,Unknown,Ground,Unknown,Unknown Payment,Ready to move,Unknown ,New Cairo - El Tagamoa
Apartment,2500000,3,2,270.0,No,Ground,Unknown,Cash,Ready to move,Unknown ,Sheikh Zayed
Apartment,1300000,3,2,150.0,Unknown,2,Unknown,Cash,Ready to move,Unknown ,Shorouk City
Apartment,1600000,3,2,150.0,Unknown,3,Unknown,Unknown Payment,Unknown,Unknown ,Al Manial
Apartment,1900000,3,2,138.0,Unknown,7,Rayhanah Plaza,Unknown Payment,Unknown,Unknown ,Zahraa Al Maadi
Apartment,2250000,3,3,185.0,No,Ground,Unknown,Installment,Ready to move,Finished,New Cairo - El Tagamoa
Apartment,1629300,3,2,157.0,No,2,Not in Compound,Cash or Installment,Ready to move,Semi Finished,New Cairo - El Tagamoa
Apartment,2250000,2,2,175.0,No,8,Unknown,Cash,Ready to move,Finished,Heliopolis
Apartment,3511000,4,3,220.0,No,3,Unknown,Cash or Installment,2025,Semi Finished,New Mansoura
Apartment,2500000,3,2,191.0,No,2,Seabelle,Cash or Installment,2025,Semi Finished,New Mansoura
Apartment,4400000,3,3,240.0,No,9,Unknown,Cash,Unknown,Finished,Heliopolis
Apartment,6200000,2,3,286.0,Yes,7,Porto New Cairo,Cash,Ready to move,Unknown ,Heliopolis
Apartment,974000,3,2,152.0,No,1,Unknown,Unknown Payment,Ready to move,Semi Finished,New Capital City
Apartment,725000,3,1,145.0,Unknown,Ground,Unknown,Cash,Ready to move,Finished,Mokattam
Apartment,2400000,3,3,240.0,No,8,Unknown,Cash,Ready to move,Unknown ,Heliopolis
Apartment,2100000,3,2,210.0,No,8,Unknown,Cash,Ready to move,Unknown ,Heliopolis
Apartment,1700000,3,2,103.0,No,1,Unknown,Cash,Unknown,Finished,Madinaty
Apartment,2200000,3,3,170.0,No,2,Unknown,Installment,2026,Semi Finished,New Mansoura
Apartment,2300000,3,2,135.0,No,1,Madinaty,Cash,Ready to move,Finished,Madinaty
Apartment,2675000,3,2,179.0,No,3,Unknown,Installment,2024,Core & Shell,New Capital City
Apartment,2200000,3,2,190.0,No,2,Unknown,Cash,Ready to move,Finished,Sheikh Zayed
Apartment,3500000,3,2,185.0,No,2,Unknown,Cash,Ready to move,Finished,Manakh District
Apartment,1200000,2,3,144.0,Unknown,2,Vinci,Unknown Payment,Ready to move,Semi Finished,New Capital City
Apartment,5500000,4,4,268.0,No,1,Madinaty,Cash,Ready to move,Finished,Madinaty
Penthouse,2200000,3,2,440.0,Unknown,Highest,Unknown,Unknown Payment,Ready to move,Semi Finished,New Cairo - El Tagamoa
Penthouse,3150000,5,4,275.0,No,3,Stone Residence,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa
Apartment,1500000,2,2,90.0,No,3,Madinaty,Cash,Ready to move,Finished,Madinaty
Apartment,2300000,3,2,200.0,No,2,Unknown,Cash,Ready to move,Finished,New Cairo - El Tagamoa
Apartment,350000,2,1,80.0,No,10,Unknown,Cash,Ready to move,Finished,Faisal
Penthouse,2200000,3,3,440.0,Unknown,Highest,Unknown,Installment,Unknown,Semi Finished,New Cairo - El Tagamoa
Apartment,7500000,3,3,340.0,No,5,Alex West,Cash,Ready to move,Finished,Laurent
Apartment,2350000,3,3,250.0,No,1,Unknown,Cash,Ready to move,Finished,Sheikh Zayed
Apartment,1850000,3,2,175.0,Unknown,3,Unknown,Installment,Ready to move,Semi Finished,New Cairo - El Tagamoa
Apartment,1535000,3,2,144.0,Unknown,Ground,Sephora Heights,Cash,Ready to move,Semi Finished,New Cairo - El Tagamoa
Apartment,185000,3,2,175.0,No,5,Unknown,Cash or Installment,Ready to move,Not Finished,Obour City
Apartment,1310000,3,3,210.0,No,Ground,Unknown,Unknown Payment,Ready to move,Semi Finished,New Capital City
Apartment,1850000,3,2,175.0,Unknown,3,Unknown,Unknown Payment,Ready to move,Semi Finished,New Cairo - El Tagamoa
Apartment,3036334,3,2,204.0,No,Ground,Unknown,Cash or Installment,Unknown,Core & Shell,New Capital City
Apartment,1950000,2,1,87.0,No,3,Madinaty,Cash,Ready to move,Finished,Madinaty
Apartment,1600000,4,2,220.0,No,10+,Unknown,Cash,Unknown,Unknown ,Helwan
Apartment,1150000,2,1,120.0,No,3,Unknown,Cash,Ready to move,Finished,New Cairo - El Tagamoa
Apartment,1300000,3,2,195.0,Unknown,3,Unknown,Cash,Ready to move,Semi Finished,Zahraa Al Maadi
Apartment,1560000,4,3,206.0,Unknown,2,Unknown,Cash or Installment,Ready to move,Semi Finished,Sheikh Zayed
Apartment,550000,2,1,75.0,No,6,Unknown,Cash,Ready to move,Not Finished,Hadayek 6th of October
Apartment,2300000,3,2,135.0,No,1,Madinaty,Cash,Ready to move,Finished,Madinaty
Apartment,1262000,3,3,210.0,No,3,Unknown,Unknown Payment,Ready to move,Semi Finished,New Capital City
Apartment,1500000,2,1,91.0,No,5,Madinaty,Cash,Ready to move,Finished,Madinaty
Apartment,1500000,3,2,160.0,No,2,Unknown,Cash or Installment,Unknown,Finished,Zahraa Al Maadi
Apartment,5000000,2,2,164.0,No,2,90 Avenue,Installment,within 6 months,Finished,New Cairo - El Tagamoa
Apartment,2900000,2,3,115.0,No,Ground,Rehab City,Cash,Ready to move,Finished,Rehab City
Apartment,4800000,3,3,232.0,No,4,Unknown,Cash,Unknown,Finished,Rehab City
Apartment,770000,3,1,130.0,No,7,Unknown,Cash,Ready to move,Finished,Mandara
Apartment,5500000,3,2,250.0,No,9,Unknown,Cash,Unknown,Unknown ,Mansura
Apartment,2250000,3,2,135.0,No,1,Madinaty,Cash,Ready to move,Finished,Madinaty
Duplex,6124000,5,6,337.0,No,Ground,Sarai,Cash or Installment,soon,Not Finished,New Cairo - El Tagamoa
Apartment,3900000,3,2,230.0,Unknown,1,Unknown,Unknown Payment,Ready to move,Finished,New Cairo - El Tagamoa
Apartment,2420000,2,2,128.0,No,Ground,Stone Residence,Cash or Installment,Ready to move,Semi Finished,New Cairo - El Tagamoa
Apartment,2150000,3,2,170.0,No,2,Unknown,Cash,Unknown,Finished,Sheikh Zayed
Apartment,1190000,3,2,170.0,No,4,Unknown,Installment,within 6 months,Semi Finished,Sheikh Zayed
Apartment,2350000,3,3,260.0,Unknown,Ground,Unknown,Installment,Ready to move,Semi Finished,New Cairo - El Tagamoa
Duplex,2720000,3,3,170.0,No,5,Monte Napoleon,Cash or Installment,soon,Finished,Mostakbal City
Apartment,380000,3,3,173.0,Unknown,2,Hyde Park New Cairo,Cash or Installment,Unknown,Unknown ,New Cairo - El Tagamoa
Apartment,2350000,3,3,260.0,Unknown,Ground,Unknown,Cash or Installment,Ready to move,Semi Finished,New Cairo - El Tagamoa
Apartment,1750000,3,2,136.0,No,Ground,Madinaty,Installment,Ready to move,Finished,Madinaty
Apartment,1600000,2,1,90.0,Unknown,1,Unknown,Unknown Payment,Unknown,Unknown ,6th of October
Apartment,1012000,3,1,135.0,Unknown,10,Unknown,Cash,Ready to move,Finished,Tanta
